iter	Logloss
0	0.4903064417
1	0.3687537073
2	0.2916575792
3	0.2302974221
4	0.1867295555
5	0.1531301993
6	0.1287024152
7	0.1114996903
8	0.0989469175
9	0.08726840549
10	0.07761107268
11	0.0704532482
12	0.0637024717
13	0.05721251311
14	0.053969687
15	0.05112726847
16	0.04868039732
17	0.04664543434
18	0.04277501989
19	0.04075373049
20	0.03883972168
21	0.03655366121
22	0.03534808124
23	0.03423635695
24	0.03221596612
25	0.03072510613
26	0.0294112368
27	0.02840967532
28	0.027806761
29	0.02639580621
30	0.02523523966
31	0.02445292155
32	0.02378310027
33	0.02319319972
34	0.0224706565
35	0.02150769834
36	0.02061889648
37	0.02024794826
38	0.01969557586
39	0.01895289668
40	0.0182607241
41	0.01802513546
42	0.01757708938
43	0.01709062788
44	0.01671486749
45	0.01631058446
46	0.01609616032
47	0.01553499999
48	0.0152485798
49	0.01500857742
50	0.01472604257
51	0.01454568934
52	0.01434235608
53	0.01408811216
54	0.01388026485
55	0.01370680491
56	0.01356089698
57	0.01338111312
58	0.01295061606
59	0.01278135512
60	0.01252882922
61	0.01233515704
62	0.0121797604
63	0.01205305029
64	0.01174539495
65	0.01163607703
66	0.01149637152
67	0.01138262572
68	0.01124723505
69	0.01090837902
70	0.01068844689
71	0.01056760435
72	0.01035711147
73	0.01016029499
74	0.01008720822
75	0.009901617545
76	0.009747248049
77	0.009668912534
78	0.009583624381
79	0.009497786628
80	0.009394144129
81	0.009284950539
82	0.009114906876
83	0.008969530176
84	0.00886824078
85	0.008770069546
86	0.008599614744
87	0.00844371725
88	0.008310624582
89	0.008253264957
90	0.008170745284
91	0.008108343901
92	0.008056002723
93	0.007978618763
94	0.007870229792
95	0.00777686437
96	0.007700046257
97	0.007656019705
98	0.007527146516
99	0.007505293246
