Normal_test_accuracy,Normal_train_accuracy,Normal_f1_score_binary,Normal_f1_score_micro,Normal_test_auc_score,Normal_train_auc_score,Normal_precision,Normal_recall,Normal_cm,SMOTE_test_accuracy,SMOTE_train_accuracy,SMOTE_f1_score_binary,SMOTE_f1_score_micro,SMOTE_test_auc_score,SMOTE_train_auc_score,SMOTE_precision,SMOTE_recall,SMOTE_cm,GAN_test_accuracy,GAN_train_accuracy,GAN_f1_score_binary,GAN_f1_score_micro,GAN_test_auc_score,GAN_train_auc_score,GAN_precision,GAN_recall,GAN_cm,SGAN_test_accuracy,SGAN_train_accuracy,SGAN_f1_score_binary,SGAN_f1_score_micro,SGAN_test_auc_score,SGAN_train_auc_score,SGAN_precision,SGAN_recall,SGAN_cm,CTGAN_test_accuracy,CTGAN_train_accuracy,CTGAN_f1_score_binary,CTGAN_f1_score_micro,CTGAN_test_auc_score,CTGAN_train_auc_score,CTGAN_precision,CTGAN_recall,CTGAN_cm
0.9007633587786259,1.0,0.8849557522123893,0.9007633587786259,0.9705743879472692,1.0,0.9259259259259259,0.847457627118644,"[[68  4]
 [ 9 50]]",0.8931297709923665,1.0,0.8771929824561402,0.8931297709923665,0.9656308851224105,1.0,0.9090909090909091,0.847457627118644,"[[67  5]
 [ 9 50]]",0.9007633587786259,1.0,0.8828828828828829,0.9007633587786259,0.9722222222222222,1.0,0.9423076923076923,0.8305084745762712,"[[69  3]
 [10 49]]",0.9083969465648855,1.0,0.8928571428571428,0.9083969465648855,0.9726930320150659,1.0,0.9433962264150944,0.847457627118644,"[[69  3]
 [ 9 50]]",0.9083969465648855,1.0,0.8928571428571428,0.9083969465648855,0.9755178907721281,1.0,0.9433962264150944,0.847457627118644,"[[69  3]
 [ 9 50]]"
0.8549618320610687,1.0,0.8347826086956522,0.8549618320610687,0.920668549905838,1.0,0.8571428571428571,0.8135593220338984,"[[64  8]
 [11 48]]",0.8778625954198473,1.0,0.8620689655172413,0.8778625954198473,0.926789077212806,1.0,0.8771929824561403,0.847457627118644,"[[65  7]
 [ 9 50]]",0.9007633587786259,1.0,0.888888888888889,0.9007633587786259,0.9211393596986819,1.0,0.896551724137931,0.8813559322033898,"[[66  6]
 [ 7 52]]",0.8854961832061069,1.0,0.8717948717948718,0.8854961832061069,0.925376647834275,1.0,0.8793103448275862,0.864406779661017,"[[65  7]
 [ 8 51]]",0.8854961832061069,1.0,0.8717948717948718,0.8854961832061069,0.9307909604519774,1.0,0.8793103448275862,0.864406779661017,"[[65  7]
 [ 8 51]]"
0.8702290076335878,1.0,0.8617886178861789,0.8702290076335878,0.9651600753295669,1.0,0.828125,0.8983050847457628,"[[61 11]
 [ 6 53]]",0.8625954198473282,1.0,0.8548387096774194,0.8625954198473282,0.9698681732580038,1.0,0.8153846153846154,0.8983050847457628,"[[60 12]
 [ 6 53]]",0.8778625954198473,1.0,0.873015873015873,0.8778625954198473,0.9703389830508474,1.0,0.8208955223880597,0.9322033898305084,"[[60 12]
 [ 4 55]]",0.8778625954198473,1.0,0.870967741935484,0.8778625954198473,0.9686911487758946,1.0,0.8307692307692308,0.9152542372881356,"[[61 11]
 [ 5 54]]",0.8931297709923665,1.0,0.8870967741935484,0.8931297709923665,0.9722222222222221,1.0,0.8461538461538461,0.9322033898305084,"[[62 10]
 [ 4 55]]"
0.8549618320610687,1.0,0.8527131782945736,0.8549618320610687,0.9442090395480226,1.0,0.7857142857142857,0.9322033898305084,"[[57 15]
 [ 4 55]]",0.8778625954198473,1.0,0.8749999999999999,0.8778625954198473,0.951271186440678,1.0,0.8115942028985508,0.9491525423728814,"[[59 13]
 [ 3 56]]",0.8625954198473282,1.0,0.859375,0.8625954198473282,0.942090395480226,1.0,0.7971014492753623,0.9322033898305084,"[[58 14]
 [ 4 55]]",0.8625954198473282,1.0,0.8615384615384616,0.8625954198473282,0.9463276836158192,1.0,0.7887323943661971,0.9491525423728814,"[[57 15]
 [ 3 56]]",0.8702290076335878,1.0,0.8682170542635659,0.8702290076335878,0.9498587570621468,1.0,0.8,0.9491525423728814,"[[58 14]
 [ 3 56]]"
0.8473282442748091,1.0,0.8245614035087718,0.8473282442748091,0.9105461393596986,1.0,0.8545454545454545,0.7966101694915254,"[[64  8]
 [12 47]]",0.8396946564885496,1.0,0.8141592920353983,0.8396946564885496,0.9126647834274954,1.0,0.8518518518518519,0.7796610169491526,"[[64  8]
 [13 46]]",0.8396946564885496,1.0,0.8108108108108109,0.8396946564885496,0.9032485875706215,1.0,0.8653846153846154,0.7627118644067796,"[[65  7]
 [14 45]]",0.8396946564885496,1.0,0.8108108108108109,0.8396946564885496,0.9053672316384181,1.0,0.8653846153846154,0.7627118644067796,"[[65  7]
 [14 45]]",0.8396946564885496,1.0,0.8141592920353983,0.8396946564885496,0.9103107344632769,1.0,0.8518518518518519,0.7796610169491526,"[[64  8]
 [13 46]]"
0.8778625954198473,1.0,0.8688524590163935,0.8778625954198473,0.935969868173258,1.0,0.8412698412698413,0.8983050847457628,"[[62 10]
 [ 6 53]]",0.8778625954198473,1.0,0.8666666666666666,0.8778625954198473,0.9310263653483992,1.0,0.8524590163934426,0.8813559322033898,"[[63  9]
 [ 7 52]]",0.8778625954198473,1.0,0.864406779661017,0.8778625954198473,0.9319679849340866,1.0,0.864406779661017,0.864406779661017,"[[64  8]
 [ 8 51]]",0.8931297709923665,1.0,0.8833333333333333,0.8931297709923665,0.9286723163841808,1.0,0.8688524590163934,0.8983050847457628,"[[64  8]
 [ 6 53]]",0.8473282442748091,1.0,0.8333333333333333,0.8473282442748091,0.9230225988700564,1.0,0.819672131147541,0.847457627118644,"[[61 11]
 [ 9 50]]"
0.9389312977099237,1.0,0.9333333333333333,0.9389312977099237,0.9790489642184557,1.0,0.9180327868852459,0.9491525423728814,"[[67  5]
 [ 3 56]]",0.9312977099236641,1.0,0.9243697478991596,0.931297709923664,0.9703389830508474,1.0,0.9166666666666666,0.9322033898305084,"[[67  5]
 [ 4 55]]",0.916030534351145,1.0,0.9075630252100839,0.916030534351145,0.9766949152542374,1.0,0.9,0.9152542372881356,"[[66  6]
 [ 5 54]]",0.9236641221374046,1.0,0.9137931034482759,0.9236641221374046,0.9757532956685498,1.0,0.9298245614035088,0.8983050847457628,"[[68  4]
 [ 6 53]]",0.9312977099236641,1.0,0.9243697478991596,0.931297709923664,0.9757532956685498,1.0,0.9166666666666666,0.9322033898305084,"[[67  5]
 [ 4 55]]"
0.8931297709923665,1.0,0.8793103448275862,0.8931297709923665,0.9446798493408664,1.0,0.8947368421052632,0.864406779661017,"[[66  6]
 [ 8 51]]",0.9083969465648855,1.0,0.8983050847457628,0.9083969465648855,0.9463276836158192,1.0,0.8983050847457628,0.8983050847457628,"[[66  6]
 [ 6 53]]",0.9236641221374046,1.0,0.9166666666666666,0.9236641221374046,0.9479755178907722,1.0,0.9016393442622951,0.9322033898305084,"[[66  6]
 [ 4 55]]",0.9083969465648855,1.0,0.8965517241379309,0.9083969465648855,0.9458568738229755,1.0,0.9122807017543859,0.8813559322033898,"[[67  5]
 [ 7 52]]",0.9007633587786259,1.0,0.888888888888889,0.9007633587786259,0.946798493408663,1.0,0.896551724137931,0.8813559322033898,"[[66  6]
 [ 7 52]]"
0.9007633587786259,1.0,0.8869565217391304,0.9007633587786259,0.9705743879472694,1.0,0.9107142857142857,0.864406779661017,"[[67  5]
 [ 8 51]]",0.9007633587786259,1.0,0.888888888888889,0.9007633587786259,0.961864406779661,1.0,0.896551724137931,0.8813559322033898,"[[66  6]
 [ 7 52]]",0.8778625954198473,1.0,0.8571428571428572,0.8778625954198473,0.9623352165725048,1.0,0.9056603773584906,0.8135593220338984,"[[67  5]
 [11 48]]",0.9007633587786259,1.0,0.888888888888889,0.9007633587786259,0.9693973634651601,1.0,0.896551724137931,0.8813559322033898,"[[66  6]
 [ 7 52]]",0.916030534351145,1.0,0.9043478260869564,0.916030534351145,0.9689265536723164,1.0,0.9285714285714286,0.8813559322033898,"[[68  4]
 [ 7 52]]"
0.8625954198473282,1.0,0.847457627118644,0.8625954198473282,0.9324387947269304,1.0,0.847457627118644,0.847457627118644,"[[63  9]
 [ 9 50]]",0.8702290076335878,1.0,0.8571428571428572,0.8702290076335878,0.9336158192090396,1.0,0.85,0.864406779661017,"[[63  9]
 [ 8 51]]",0.8625954198473282,1.0,0.847457627118644,0.8625954198473282,0.9347928436911487,1.0,0.847457627118644,0.847457627118644,"[[63  9]
 [ 9 50]]",0.8625954198473282,1.0,0.847457627118644,0.8625954198473282,0.9397363465160076,1.0,0.847457627118644,0.847457627118644,"[[63  9]
 [ 9 50]]",0.8625954198473282,1.0,0.85,0.8625954198473282,0.9357344632768362,1.0,0.8360655737704918,0.864406779661017,"[[62 10]
 [ 8 51]]"
